experiment,c,T_PM,d50,d90,d10,T_TM,mf_PM,mf_TM,Q_g,w_crystal,c_in,T_PM_in,T_TM_in
file_14894.txt,0.17545259355777731,316.0746570413753,0.0004638580967172181,0.0004333964651310944,0.0003511497576650899,315.83162644256595,0.00044381307273988024,0.011368313858993038,5.432650319633825e-07,0.00561919271111412,0.17695047308712,323.12063736011265,323.12063736011265
file_15229.txt,0.1801847214505454,311.9509771991583,0.0004035702082075673,0.0005004612232375193,0.00038441043546279073,311.64391912492357,0.0005265046656400049,0.007019286516518738,3.975829292893018e-07,0.005144165006036331,0.18999999999999997,323.15,323.15
file_15576.txt,0.18438851530135578,314.6938884532655,0.0003964491818048794,0.0005425036067995051,0.0003710981543791388,314.40709126535126,0.000491642396359213,0.00962236476545818,4.854703261646614e-07,0.004143404850318995,0.18999999999999997,323.15,323.15
file_16361.txt,0.18094657088395547,313.5624422673501,0.0003644122950739306,0.00043418006283505226,0.00040192004600063543,313.2532806613553,0.0004365359488518975,0.00847937369407838,5.38004461327835e-07,0.006404092104365427,0.18999999999999997,323.15,323.15
file_17860.txt,0.1749309272527326,315.01999126562873,0.0004256148480802921,0.0004397990065739473,0.00039708499105006116,314.79217500894623,0.000522340054024839,0.009597605092025837,4.956354071202613e-07,0.0053787595253441175,0.17695047308712,323.12063736011265,323.12063736011265
file_18883.txt,0.17542764929967536,314.8502407353801,0.0003607369678083452,0.0004279531286946679,0.0004104249157907649,314.5697828721946,0.0005159598336543662,0.008622796370451265,4.822751954984927e-07,0.004788813941498027,0.17695047308712,323.12063736011265,323.12063736011265
file_20658.txt,0.1841590275948292,314.5113104738692,0.00036727767517406406,0.000473291710096943,0.0003977193341120915,314.1063208944973,0.0005732013549486603,0.00964727250062067,6.066049550085269e-07,0.005377829267681129,0.18999999999999997,323.15,323.15
file_20726.txt,0.1774787590856825,309.4474006899906,0.0004450100117949693,0.0005021951347216438,0.0004727505107645068,309.1336903651247,0.00045637845446260645,0.005689238387770864,5.423857806555028e-07,0.005564146827003899,0.18999999999999997,323.15,323.15
file_20785.txt,0.178861586863384,312.33748251165576,0.00041656068779752034,0.00045223341037624543,0.0003226376322874775,312.01898338024154,0.0005936315435169497,0.007841593262628822,4.403257733928476e-07,0.00717410950399313,0.18999999999999997,323.15,323.15
file_22059.txt,0.1748979426688989,313.36325571002686,0.0004770613006141494,0.00046805901407792985,0.00040534144976635267,312.9778209142135,0.0005369812947912822,0.007906671362734912,5.364070582573444e-07,0.005171841096498721,0.17695047308712,323.12063736011265,323.12063736011265
file_22620.txt,0.18496318138029402,314.8262670040905,200.00019456395285,200.00079434110236,199.99959534169903,314.3685987574317,0.0005748692703017631,0.008756969615859023,5.714175165149517e-07,0.004308402284657858,0.18999999999999997,323.15,323.15
