c_lo,T_PM_lo,d10_lo,d50_lo,d90_lo,T_TM_lo,c_hi,T_PM_hi,d10_hi,d50_hi,d90_hi,T_TM_hi
-0.01375335007910363,-0.28470552928463744,0.006222065869943336,-0.008813721686617718,-0.0030980282288494455,-0.23768925830849724,0.004733967781110924,0.5742997921230011,0.0015954111178954095,0.009450691379622803,-0.001065466104775394,0.564352543802348
-0.014016634970947425,-0.3100636101485901,0.006514210585729316,-0.009057267196492538,-0.003300106601089512,-0.2545294480038555,0.004749342054172676,0.5742069876910858,0.0015950087865431756,0.009530248679236755,-0.0011170911777314792,0.5647189931584271
-0.01428309381012551,-0.347466776442688,0.00686619463957949,-0.009392267651872024,-0.003522407711714779,-0.2796525375557812,0.004662472009702843,0.5720811880351715,0.0015838403662283868,0.009694414772109375,-0.0012675631034669529,0.5655194835377606
-0.013886637240692298,-0.3074240780593567,0.006450329307691291,-0.009037622809426174,-0.0032119438808861124,-0.2533583955479534,0.0046739384532415084,0.5728988445522003,0.001570526178701684,0.00950236115606247,-0.0011112126696405063,0.5640131549549969
-0.014102063328071754,-0.3174831367255859,0.006580893282071784,-0.009116599895076141,-0.003373915777772938,-0.25984645053872185,0.004780958592935722,0.5743129647494964,0.0016091052850325555,0.009484405256823883,-0.0010757255542573581,0.5641028003407391
-0.014077237993522803,-0.3240800297977142,0.006635219190494254,-0.009181762672976837,-0.0033478704106512415,-0.2642795757962139,0.004678662121339958,0.5730407632114105,0.0015545446833212823,0.009570206142978058,-0.0011529806244668613,0.5643304304791363
-0.014164711535020988,-0.3230754531146698,0.006636459712163642,-0.009159374609605656,-0.0034192041319313395,-0.2635808007431896,0.004781547188802879,0.5742962754489593,0.0016029436548788995,0.009498002566413269,-0.0010815966117677341,0.5640660838795575
-0.013908657431646506,-0.3030222750426941,0.00641412321128054,-0.008985135331765995,-0.0032162521791162836,-0.2504309134198101,0.004721916466995399,0.5739500916721039,0.0015663762053091973,0.009443121589736328,-0.00104844897869202,0.5634570436192425
-0.014849937707229774,-0.388820478987854,0.007202122692243293,-0.009626195393518791,-0.003959348873466526,-0.30700728461274224,0.004759627580686729,0.5726076758624725,0.001631747599466607,0.009772034920768127,-0.0013097259390649448,0.5660121159268292
-0.014299608022018592,-0.35358292825238036,0.006883614097015098,-0.009416108578459606,-0.003538988978833233,-0.2841714636994274,0.0046237103641473465,0.5712279475452118,0.0015604082902510614,0.00968212131412445,-0.0012530344713029514,0.5648158507061871
-0.014293636381670157,-0.3470871842624359,0.006854918185846046,-0.009378684312121258,-0.003526600525945698,-0.27970785066613274,0.004681210219904106,0.5724603927852325,0.0015751753409941644,0.009637611545638428,-0.0012139934289750705,0.5647864060116681
-0.01420372650031678,-0.33350814349667357,0.00674126702942057,-0.00926961526276289,-0.0034502525639238703,-0.2706199602795513,0.004725001007362526,0.5734770692111664,0.0015817244013388604,0.009564856626109466,-0.0011490690696534763,0.5644091682148846
-0.014302074164196174,-0.3387798166991882,0.0067704993823926,-0.009268745407478199,-0.003520744369596516,-0.2739636318398388,0.0047379501164399795,0.5734724200488739,0.0015763525327284783,0.009583460725859985,-0.0011414992797670017,0.5643335895253094
-0.01441906690601937,-0.3668804860831909,0.007013354782239631,-0.009533372335152016,-0.003630491421789204,-0.29296216532715874,0.00460691675548188,0.5709233678104095,0.0015592012961943597,0.009747768379763946,-0.0013163718569574009,0.565333099813548
-0.014094068855091254,-0.32861138350979613,0.006673429493085578,-0.009223383478836403,-0.0033629038196506846,-0.2674599604321392,0.004658057540699165,0.5726420677425079,0.0015462745388586969,0.009579497016982422,-0.0011640223849115024,0.56421402260789
-0.014653056114956061,-0.37301323778645323,0.007059548381940559,-0.009509219415501938,-0.0037992489349546778,-0.2965802864743145,0.004720851033970039,0.5724615252734833,0.0015900094469626397,0.009728717245177612,-0.00126178145292374,0.5653376893711957
-0.014313324540897529,-0.3482122517348938,0.006849658075944618,-0.009365076757983551,-0.003539326117605244,-0.2804220037175091,0.004674404114528816,0.5722865856410675,0.001565817411764428,0.009644674696044311,-0.0012095603335199009,0.5646650509549054
-0.014398372918411414,-0.3583600021125488,0.006936412636415199,-0.009447810798899517,-0.003614411206215893,-0.28725269600876885,0.004669050872369926,0.5718203581096344,0.0015804429014761895,0.009678112901763306,-0.001244466303616489,0.5649401859951886
-0.014538481086536567,-0.3665738201858215,0.0070092457870404275,-0.009490920789555893,-0.0037218169134559977,-0.2925653176022442,0.004710599035068672,0.5722282922984772,0.0016000230272849054,0.009692313708381042,-0.00124720066669556,0.5651510672284039
-0.014356496930166404,-0.3478525973083191,0.006873805407659248,-0.009375095926241264,-0.0035658893000784266,-0.2800278680039318,0.004716812819286507,0.5731677211047821,0.0015780214627821893,0.009633170999602661,-0.0011995169508752475,0.5648325400067242
-0.01454060450200669,-0.362906137776535,0.0070016163925091775,-0.009475391916946754,-0.0037165754300060617,-0.2900034801674755,0.004747002571865242,0.5730547703029327,0.0016080473025877923,0.009669343568400726,-0.0012272256601152073,0.5651938633633526
-0.014554462581916968,-0.366539189887207,0.007011048827544883,-0.009485280700044021,-0.0037299510848226893,-0.29246148631104546,0.004716864973350685,0.5724123514415436,0.001596633013113305,0.009694750048236236,-0.001244652568131412,0.56516537234315
