c_lo,T_PM_lo,d10_lo,d50_lo,d90_lo,T_TM_lo,c_hi,T_PM_hi,d10_hi,d50_hi,d90_hi,T_TM_hi
-0.0085072889905784,-0.3091638539792405,-0.0008995449485164808,-0.005440985949809741,-0.00637212768491755,-0.3008977151237839,0.0008181110006186833,0.12027718172086341,0.0059580793918949295,0.006123971359904002,0.007388044151630501,0.08264129373658828
-0.008499018846115815,-0.30897431120885477,-0.0008909805061203169,-0.005464738400752734,-0.0063688270777131125,-0.3005694425426834,0.0007924735527846684,0.12366832838071448,0.005954123133597963,0.006125237958605479,0.007383976134624581,0.08450667324889831
-0.008476629851422059,-0.3062565182210313,-0.0009233123006206678,-0.005287854166801166,-0.006399590524997811,-0.29742672804225617,0.0008078329246852269,0.1267522727013932,0.0058057895244938065,0.006120247000928115,0.007369149479236703,0.08771811190475158
-0.008523367343506562,-0.30884699568761453,-0.0009154966415744947,-0.005356347354228686,-0.006339330229129891,-0.30061030152667695,0.0007975473981711736,0.12082235560430152,0.005984566205916994,0.006129430772836398,0.0074007548421288535,0.08263627949584655
-0.00846042483862375,-0.3080245409966813,-0.0008350378217083143,-0.005619568916137408,-0.006409738215770821,-0.29896738890041047,0.0007070079427573552,0.1382084642411576,0.005865565532622926,0.006156351583178233,0.007345575842228036,0.09318437192071609
-0.008475318549237,-0.3098072265149461,-0.0008671796264034437,-0.005620455535228442,-0.006409954282608132,-0.3014389551006668,0.0008274465781066289,0.12197215900434119,0.00594562947171747,0.006106976585562419,0.00736290589269648,0.08379556003440551
-0.008486904202065217,-0.30913786635411844,-0.0008732593001705335,-0.005547298284347247,-0.006432261320915322,-0.30074670675624543,0.000831302253565537,0.12114885494721991,0.005893490308700197,0.006136076690728854,0.007376063618030648,0.08367902550328903
-0.008461266754231202,-0.31049417004598245,-0.0008580377640110182,-0.005722729655082416,-0.006440836939182381,-0.3022486841999405,0.0008745565992209783,0.11838087484849555,0.005947551721511476,0.006087117994303893,0.007346432658996682,0.08198328081000976
-0.008475594220719087,-0.31153713212026224,-0.000887739503560655,-0.005687659772212695,-0.006427299234237771,-0.3037423467956894,0.0009742230158660283,0.10784085140241248,0.005998044306216829,0.006048306988651942,0.007330957803096871,0.07614014062513046
-0.008465468881687867,-0.30858828172696695,-0.000871553117213838,-0.005563838573272418,-0.006449837240543465,-0.30000909927714997,0.0008379220944259038,0.12311284289373023,0.005850627118526094,0.0061210619081809034,0.007359463724460702,0.08528478208411865
