eps_c,eps_T_PM,eps_d10,eps_d50,eps_d90,eps_T_TM
2.9221177e-05,0.12426758,-8.553616e-08,-5.2090036e-07,-1.8830178e-08,0.09057617
-8.672476e-06,0.12530518,-1.6402919e-07,-8.068455e-07,-4.886242e-07,0.093444824
4.8309565e-05,0.12475586,-2.2962922e-07,-8.5678766e-07,-4.2296597e-07,0.09197998
6.450713e-05,0.12478638,-1.2977398e-07,-4.566391e-07,-2.5631743e-07,0.09283447
7.046759e-05,0.123931885,-5.3434633e-08,-6.513437e-08,-4.02797e-08,0.09375
7.352233e-05,0.1237793,-1.0349613e-06,-6.068149e-08,-1.2890087e-06,0.09423828
5.8710575e-05,0.12307739,-2.0237057e-06,-2.9429793e-07,-2.5248155e-06,0.093811035
5.7578087e-05,0.11291504,-1.183158e-06,-3.1883246e-07,-2.946239e-06,0.08544922
2.7820468e-05,0.09005737,7.796916e-08,-2.7604983e-07,-3.5139092e-06,0.06454468
1.3411045e-06,0.06335449,-3.0559022e-09,-1.427281e-06,-2.4346227e-06,0.040130615
2.115965e-06,0.049041748,-5.082693e-07,-2.604269e-06,-1.3234967e-06,0.027252197
-2.8446317e-05,0.056488037,-4.4703484e-08,-2.4997862e-06,-1.4678808e-06,0.037078857
-2.194941e-05,0.061920166,-4.6333298e-08,-2.4121255e-06,1.223234e-07,0.045043945
-1.899898e-05,0.07092285,-1.2085948e-06,-1.4989928e-06,1.5896512e-07,0.05545044
-3.0472875e-05,0.062286377,-1.9026629e-06,-6.6150096e-07,-1.6000413e-06,0.046295166
2.4184585e-05,0.06518555,-1.4299003e-06,-7.91857e-07,-1.680688e-06,0.05114746
-3.2633543e-06,0.0652771,-2.9336661e-08,-4.887406e-07,-1.7688726e-06,0.052459717
-1.2651086e-05,0.061645508,-2.576271e-07,-5.6566205e-07,-1.4650286e-06,0.05166626
5.5879354e-06,0.05847168,-1.1207303e-06,-9.329233e-07,-1.0859221e-06,0.049591064
1.3113022e-05,0.056762695,-3.3320975e-07,-8.685747e-07,-3.389141e-07,0.0491333
-1.321733e-05,0.052764893,-4.4360058e-07,-7.848139e-07,-4.58851e-07,0.046813965
-1.9535422e-05,0.057769775,-1.0259973e-06,-6.3850894e-07,-9.536743e-07,0.05050659
6.0796738e-06,0.0569458,-8.895586e-07,-6.610644e-07,-8.243369e-07,0.05078125
1.7002225e-05,0.05355835,-1.6238773e-06,-1.014414e-06,-1.1502998e-06,0.047821045
1.1101365e-05,0.050079346,-2.3721368e-06,-1.2375531e-06,-1.4666875e-06,0.045288086
5.6773424e-06,0.045532227,-1.7561542e-06,-1.2768724e-06,-1.4874968e-06,0.042755127
-6.005168e-06,0.04208374,-1.1194206e-06,-1.3023091e-06,-1.5028636e-06,0.04119873
-6.7949295e-06,0.044036865,-1.1622615e-06,-1.3541139e-06,-1.3831595e-06,0.04397583
1.3917685e-05,0.045196533,-1.2060336e-06,-1.3983517e-06,-1.2387463e-06,0.04525757
3.103912e-05,0.047088623,-1.1345837e-06,-1.7578132e-06,-1.3450626e-06,0.047424316
1.6838312e-05,0.047302246,-1.0646181e-06,-2.111512e-06,-1.0526273e-06,0.048339844
5.2616e-05,0.04385376,-1.0971853e-06,-1.919485e-06,-6.923801e-07,0.045043945
-4.8428774e-06,0.04598999,-1.0968361e-06,-1.7529528e-06,-8.655188e-07,0.046173096
1.7389655e-05,0.04348755,-1.7512648e-06,-2.0054576e-06,-8.257339e-07,0.044525146
-1.9550323e-05,0.04534912,-2.3785688e-06,-2.264278e-06,-7.561757e-07,0.045013428
3.7699938e-06,0.045532227,-2.1219603e-06,-2.6396592e-06,-1.0892691e-06,0.047790527
0.00022636354,0.05831909,-1.7890998e-06,-1.3556855e-06,-1.1388329e-06,0.054351807
-0.00010070205,-0.008117676,-1.3831304e-06,-1.0839722e-06,-1.4655525e-06,0.0134887695
